 250.    10.00   0.28 0.0 0.100E+06  0.00  1.00  1.00  Teff, grav(MKS), Y, f_sed, kz_min, [Fe/H], C/O, f_hole
 70  22.3026281   1071.32 1.7167E+05  0.2880  0.2889 5.9120E-04
 71  26.5052477   1125.77 1.6788E+05  0.2863  0.2872 6.6863E-04
 72  31.4997924   1182.64 1.6384E+05  0.2844  0.2854 7.5642E-04
 73  37.4354894   1241.93 1.5984E+05  0.2823  0.2834 8.5602E-04
 74  44.4896859   1303.73 1.5612E+05  0.2802  0.2813 9.6906E-04
 75  52.8731474   1368.08 1.5292E+05  0.2779  0.2791 1.0974E-03
 76  62.8363554   1435.04 1.5055E+05  0.2756  0.2768 1.2433E-03
 77  74.6769912   1504.66 1.4880E+05  0.2732  0.2744 1.4091E-03
 78  88.7488299   1577.00 1.4839E+05  0.2707  0.2720 1.5978E-03
 79 105.4723105   1652.11 1.4988E+05  0.2683  0.2695 1.8126E-03
 80 125.3470981   1730.04 1.5466E+05  0.2657  0.2670 2.0567E-03
 81 148.9670125   1810.86 1.6463E+05  0.2632  0.2644 2.3348E-03
 82 177.0377708   1894.59 1.7343E+05  0.2604  0.2618 2.6521E-03
 83 210.3980724   1981.27 1.8338E+05  0.2578  0.2591 3.0147E-03
 84 250.0446581   2070.98 1.9275E+05  0.2549  0.2565 3.4283E-03
 85 297.1620905   2163.62 2.0143E+05  0.2519  0.2535 3.9019E-03
 86 353.1581467   2259.25 2.0804E+05  0.2490  0.2505 4.4422E-03
 87 419.7058796   2357.90 2.1285E+05  0.2456  0.2475 5.0609E-03
 88 498.7936057   2459.34 2.1503E+05  0.2421  0.2440 5.7714E-03
 89 592.7843120   2563.70 2.1612E+05  0.2389  0.2407 6.5808E-03
 90 704.4862575   2670.81 2.1695E+05  0.2347  0.2371 7.5089E-03
 91 800.0025047   2751.13 2.2140E+05  0.2314  0.2330 8.2809E-03
