1400.    10.00   0.28 0.0 0.100E+06  0.00  1.00  1.00  Teff, grav(MKS), Y, f_sed, kz_min, [Fe/H], C/O, f_hole 
  1   0.0001778    724.48 5.1843E+05  0.0000  0.0354
  2   0.0002018    727.25 5.4490E+05  0.2960  0.0354
  3   0.0002290    731.00 5.7968E+05  0.2960  0.0432
  4   0.0002599    735.24 5.5676E+05  0.2959  0.0474
  5   0.0002949    739.81 5.3780E+05  0.2958  0.0500
  6   0.0003347    744.60 5.2325E+05  0.2958  0.0518
  7   0.0003798    749.58 5.1061E+05  0.2957  0.0538
  8   0.0004311    754.81 4.9886E+05  0.2956  0.0558
  9   0.0004892    760.24 4.8742E+05  0.2955  0.0575
 10   0.0005551    765.86 4.7596E+05  0.2954  0.0588
 11   0.0006300    771.64 4.6438E+05  0.2953  0.0599
 12   0.0007149    777.54 4.5248E+05  0.2952  0.0607
 13   0.0008113    783.58 4.3991E+05  0.2950  0.0616
 14   0.0009207    789.75 4.2621E+05  0.2949  0.0618
 15   0.0010449    795.93 4.1166E+05  0.2948  0.0614
 16   0.0011857    802.12 3.9679E+05  0.2947  0.0617
 17   0.0013456    808.45 3.8132E+05  0.2945  0.0628
 18   0.0015271    814.97 3.8101E+05  0.2944  0.0642
 19   0.0017330    821.69 4.0320E+05  0.2943  0.0658
 20   0.0019666    828.66 4.2941E+05  0.2942  0.0677
 21   0.0022318    835.89 4.6085E+05  0.2940  0.0696
 22   0.0025327    843.39 4.9910E+05  0.2939  0.0712
 23   0.0028742    851.09 5.4575E+05  0.2937  0.0717
 24   0.0032618    858.83 6.0195E+05  0.2935  0.0720
 25   0.0037016    866.74 6.6795E+05  0.2932  0.0740
 26   0.0042007    875.05 7.4385E+05  0.2931  0.0768
 27   0.0047671    883.75 8.3025E+05  0.2929  0.0798
 28   0.0054099    892.89 9.2790E+05  0.2926  0.0828
 29   0.0061393    902.45 1.0381E+06  0.2923  0.0856
 30   0.0069671    912.43 1.1629E+06  0.2921  0.0881
 31   0.0079065    922.79 1.3053E+06  0.2919  0.0903
 32   0.0089726    933.51 1.4694E+06  0.2916  0.0916
 33   0.0101824    944.43 1.6584E+06  0.2913  0.0921
 34   0.0115554    955.52 1.8706E+06  0.2910  0.0932
 35   0.0131135    966.97 2.1047E+06  0.2907  0.0957
 36   0.0148816    978.93 2.3626E+06  0.2903  0.0988
 37   0.0168882    991.43 2.6467E+06  0.2899  0.1019
 38   0.0191653   1004.49 2.9596E+06  0.2895  0.1050
 39   0.0217495   1018.12 3.3033E+06  0.2891  0.1082
 40   0.0246821   1032.37 3.6769E+06  0.2887  0.1112
 41   0.0280101   1047.18 4.0714E+06  0.2883  0.1146
 42   0.0317869   1062.73 4.4758E+06  0.2878  0.1208
 43   0.0360729   1079.67 4.8810E+06  0.2872  0.1296
 44   0.0409368   1098.16 5.2780E+06  0.2867  0.1388
 45   0.0464565   1118.25 5.6595E+06  0.2860  0.1477
 46   0.0527205   1139.98 6.0160E+06  0.2853  0.1565
 47   0.0598290   1163.41 6.3435E+06  0.2845  0.1652
 48   0.0678961   1188.64 6.6365E+06  0.2836  0.1741
 49   0.0770509   1215.81 6.8915E+06  0.2827  0.1835
 50   0.0874401   1245.12 7.1100E+06  0.2817  0.1936
 51   0.0992301   1276.84 7.2965E+06  0.2806  0.2054
 52   0.1126099   1311.54 7.4605E+06  0.2793  0.2198
 53   0.1277937   1349.86 7.6115E+06  0.2779  0.2416
 54   0.1450248   1394.19 7.8690E+06  0.2764  0.2655
 55   0.1645792   1443.64 9.2280E+06  0.2747  0.2746
 56   0.1867703   1494.47 1.1738E+07  0.2724  0.2724
 57   0.2119536   1546.65 1.6195E+07  0.2703  0.2703
 58   0.2405324   1600.23 2.5741E+07  0.2682  0.2680
 59   0.2729647   1655.16 3.7704E+07  0.2651  0.2652
 60   0.3097700   1711.26 5.1534E+07  0.2619  0.2620
 61   0.3515380   1768.58 6.6988E+07  0.2589  0.2591
 62   0.3989377   1827.17 8.4093E+07  0.2550  0.2551
 63   0.4527287   1886.47 1.0058E+08  0.2495  0.2499
 64   0.5137725   1946.40 1.1479E+08  0.2445  0.2450
 65   0.5830472   2007.06 1.2759E+08  0.2400  0.2401
 66   0.6616626   2068.29 1.3965E+08  0.2328  0.2335
 67   0.7508782   2129.17 1.5052E+08  0.2249  0.2257
 68   0.8521231   2189.81 1.6037E+08  0.2178  0.2188
 69   0.9670195   2250.35 1.6932E+08  0.2117  0.2124
 70   1.0974079   2310.72 1.7779E+08  0.2039  0.2050
 71   1.2453774   2370.15 1.8493E+08  0.1957  0.1969
 72   1.4132983   2428.74 1.9077E+08  0.1883  0.1897
 73   1.6038609   2486.63 1.9554E+08  0.1817  0.1831
 74   1.8201181   2543.90 1.9945E+08  0.1758  0.1771
 75   2.0655345   2600.60 2.0269E+08  0.1701  0.1715
 76   2.3440416   2656.70 2.0538E+08  0.1648  0.1661
 77   2.6601014   2712.22 2.0760E+08  0.1597  0.1610
 78   3.0187772   2767.15 2.0947E+08  0.1548  0.1562
 79   3.4258152   2821.54 2.1102E+08  0.1503  0.1518
 80   3.8877364   2875.48 2.1222E+08  0.1471  0.1484
 81   4.4119408   2929.52 2.1322E+08  0.1446  0.1459
 82   5.0068266   2983.62 2.1405E+08  0.1420  0.1434
 83   5.6819240   3037.72 2.1474E+08  0.1395  0.1408
 84   6.4480484   3091.77 2.1531E+08  0.1368  0.1381
 85   7.3174735   3145.74 2.1578E+08  0.1343  0.1355
 86   8.3041279   3199.62 2.1615E+08  0.1322  0.1337
 87   9.4238183   3253.97 2.1645E+08  0.1316  0.1328
 88  10.6944825   3308.95 2.1671E+08  0.1309  0.1321
 89  12.1364772   3364.57 2.1692E+08  0.1302  0.1313
 90  13.7729038   3420.71 2.1710E+08  0.1292  0.1303
 91  15.6299787   3477.33 2.1793E+08  0.1281  0.1303
