# Wlen(nm) Flux Flux_err
1.923728342853689128e+03 4.830305928884330857e-01 3.859783220608972807e-03
1.923734900081010210e+03 4.602049092110157558e-01 3.786045437116589921e-03
1.923741457188608365e+03 4.338539281055386887e-01 3.652694404005822886e-03
1.923748014176480410e+03 4.116745738506174535e-01 3.599410423989105046e-03
1.923754571044621571e+03 3.765828545908305180e-01 3.423712991875693754e-03
1.923761127793028436e+03 3.467291485912821214e-01 3.287006694116144205e-03
1.923767684421696686e+03 3.106164251866118109e-01 3.116526713100840201e-03
1.923774240930622682e+03 2.638325319354278831e-01 2.877005512705352753e-03
1.923780797319802105e+03 2.134566265531437912e-01 2.602708777891251431e-03
1.923787353589230861e+03 1.652254623700773473e-01 2.305275526982039462e-03
1.923793909738905541e+03 1.166052170580830910e-01 1.960979074496666929e-03
1.923800465768821823e+03 7.179640611447266063e-02 1.583120949655235235e-03
1.923807021678975843e+03 4.401454125861346822e-02 1.273725499416349495e-03
1.923813577469363508e+03 3.502792758513203347e-02 1.169020739786663567e-03
1.923820133139980726e+03 3.752474028771053682e-02 1.224057702310928563e-03
1.923826688690824085e+03 4.539468174379297782e-02 1.319426488426449088e-03
1.923833244121888811e+03 5.108132290476639914e-02 1.355727266876249112e-03
1.923839799433171493e+03 5.206940654714577177e-02 1.355716250297729891e-03
1.923846354624668038e+03 4.738472670518130425e-02 1.295968922353712277e-03
1.923852909696374581e+03 3.866044760735921904e-02 1.196515688298141781e-03
